Player,Mat,Inns,Runs,HS,NO,Ave,BF,SR,Centuries,Fifties,Ducks,Fours,Sixes
R Tewatia (GT),17,10,87,20,1,21.75,57,152.63,0,0,0,3,7
DJ Hooda (LSG),12,12,84,17,0,7.63,90,93.33,0,0,0,3,2
R Parag (RR),7,7,78,20,0,13,66,118.18,0,0,0,4,5
Harpreet Singh (PBKS),3,3,76,41,0,25.33,59,128.81,0,0,0,8,3
PBB Rajapaksa (PBKS),4,4,71,50,0,23.66,62,114.51,0,1,1,6,2
Vivrant Sharma (SRH),3,1,69,69,0,69,47,146.8,0,1,0,9,2
R Ashwin (RR),13,10,67,30,0,11.16,51,131.37,0,0,2,5,3
Lalit Yadav (DC),6,6,66,38,0,13.2,59,111.86,0,0,0,8,0
K Gowtham (LSG),7,7,61,23,0,15.25,37,164.86,0,0,0,2,5
Washington Sundar (SRH),7,5,60,24,1,15,60,100,0,0,0,6,0
MG Bracewell (RCB),5,4,58,26,0,29,47,123.4,0,0,0,6,1
SN Khan (DC),4,4,53,30,0,13.25,62,85.48,0,0,0,4,1
Harpreet Brar (PBKS),13,8,52,17,1,8.66,41,126.82,0,0,1,5,2
RV Patel (DC),5,4,49,23,0,16.33,43,113.95,0,0,0,3,1
B Kumar (SRH),14,6,42,27,0,14,47,89.36,0,0,0,4,0
Shahbaz Ahmed (RCB),10,6,42,20,1,10.5,39,107.69,0,0,0,3,1
GD Phillips (SRH),5,5,39,25,0,7.8,22,177.27,0,0,1,2,4
M Jansen (SRH),8,6,39,17,1,13,43,90.69,0,0,0,4,0
Vishnu Vinod (MI),3,3,37,30,0,12.33,31,119.35,0,0,0,2,2
A Nortje (DC),10,7,37,23,1,12.33,29,127.58,0,0,1,6,0
DJ Willey (RCB),4,3,35,20,1,0,32,109.37,0,0,0,4,0
SS Prabhudessai (RCB),5,4,35,19,0,8.75,29,120.68,0,0,1,1,2
Abishek Porel (DC),4,4,33,20,0,8.25,31,106.45,0,0,0,1,2
PW Hasaranga (RCB),8,5,33,12,1,16.5,28,117.85,0,0,0,3,0
Kuldeep Yadav (DC),14,10,31,10,1,15.5,48,64.58,0,0,2,2,0
MD Shanaka (GT),3,3,26,17,0,13,26,100,0,0,1,2,1
T Stubbs (MI),2,2,25,20,0,12.5,31,80.64,0,0,0,2,0
PP Chawla (MI),16,4,25,18,0,12.5,22,113.63,0,0,1,1,1
HR Shokeen (MI),8,3,23,18,1,23,17,135.29,0,0,0,4,0
AS Roy (KKR),4,4,23,13,1,11.5,19,121.05,0,0,1,3,0
AU Rashid (SRH),2,2,22,18,0,11,16,137.5,0,0,0,2,1
PK Garg (DC),2,2,22,12,0,11,23,95.65,0,0,0,1,0
D Wiese (KKR),3,3,21,12,1,21,11,190.9,0,0,0,0,3
M Markande (SRH),10,3,21,18,1,0,13,161.53,0,0,0,2,1
SP Narine (KKR),14,10,21,7,1,3,25,84,0,0,3,2,1
R Dhawan (PBKS),6,3,20,19,0,10,12,166.66,0,0,0,1,1
